Abbreviation,Name,Year,Price,Adjusted price
APTV,Apple TV,2015,149.0,146.66760567380817
N3DS,New Nintendo 3DS,2014,199.99,196.8213321553912
FIRE,Amazon Fire TV,2014,99.0,97.43143098846807
XONE,Xbox One,2013,499.0,499.0
PS4,PlayStation 4,2013,399.0,399.0
OUYA,Ouya,2013,99.0,99.0
WIIU,Wii U,2012,299.0,303.3778887195122
VITA,PlayStation Vita,2012,249.0,252.64580030487807
3DS,Nintendo 3DS,2011,249.0,257.891618342919
IPAD,iPad,2010,499.0,533.0610631453688
ZBO,Zeebo,2009,280.0,304.0076029914835
DIDJ,Leapfrog Didj,2008,90.0,97.40368657064845
IPHN,iPhone,2007,599.0,673.0070611262274
Wii,Wii,2006,249.0,287.7949762268987
PS3,PlayStation 3,2006,599.0,692.326067308885
HSCN,HyperScan,2006,70.0,80.90621821639724
X360,Xbox 360,2005,399.0,476.0246069477638
GIZ,Gizmondo,2005,229.0,273.20710524069654
GWAV,Game Wave,2005,99.0,118.11136864117447
VSML,V.Smile,2005,90.0,107.3739714919768
PSP,PlayStation Portable,2005,249.0,297.06798779446916
DS,Nintendo DS,2004,149.0,183.74679474171782
XAVX,XaviXPORT,2004,79.0,97.42279721205172
LEAP,Leapster,2003,80.0,101.28771739130435
ZOD,Zodiac,2003,299.0,378.56284375
NGE,N-Gage,2003,299.0,378.56284375
GP32,GamePark 32,2001,160.0,210.5373311367381
XBOX,Xbox,2001,299.0,393.44163756177926
IPOD,iPod,2001,399.0,525.0274695222406
GCN,GameCube,2001,199.0,261.855805601318
GBA,Game Boy Advance,2001,100.0,131.58583196046132
WSC,WonderSwan Color,2000,59.0,79.82234864250108
PS2,PlayStation 2,2000,299.0,404.52342786623433
64DD,Nintendo 64DD,1999,300.0,419.5409204602302
NGPC,Neo Geo Pocket Color,1999,70.0,97.89288144072039
DC,Dreamcast,1998,199.0,284.3988850263279
GBC,Game Boy Color,1998,70.0,100.03980880323091
GCOM,Game.Com,1997,70.0,101.58743186419562
N64,Nintendo 64,1996,199.0,295.5494124209744
PIPN,Pippin,1995,599.0,915.7437706442087
